network_node1	network_node2
G6_Cl_16	G174_Cl_5
G6_Cl_16	G206_Cl_2
G6_Cl_16	G361_Cl_5
G6_Cl_16	G427_Cl_16
G6_Cl_16	G429_Cl_15
G6_Cl_16	G430_Cl_14
G6_Cl_16	G463_Cl_3
G6_Cl_16	G610_Cl_10
G6_Cl_16	G621_Cl_11
G6_Cl_16	G622_Cl_12
G6_Cl_16	G653_Cl_8
G7_Cl_2	G109_Cl_2
G7_Cl_2	G203_Cl_5
G7_Cl_2	G442_Cl_4
G7_Cl_2	G463_Cl_3
G7_Cl_2	G764_Cl_2
G7_Cl_3	G12_Cl_6
G7_Cl_3	G19_Cl_2
G7_Cl_3	G109_Cl_2
G7_Cl_3	G165_Cl_2
G7_Cl_3	G174_Cl_5
G7_Cl_3	G287_Cl_3
G7_Cl_3	G328_Cl_4
G7_Cl_3	G333_Cl_8
G7_Cl_3	G345_Cl_7
G7_Cl_3	G361_Cl_5
G7_Cl_3	G395_Cl_2
G7_Cl_3	G397_Cl_2
G7_Cl_3	G404_Cl_6
G7_Cl_3	G414_Cl_8
G7_Cl_3	G446_Cl_8
G7_Cl_3	G455_Cl_6
G7_Cl_3	G456_Cl_3
G7_Cl_3	G463_Cl_3
G7_Cl_3	G495_Cl_7
G7_Cl_3	G499_Cl_13
G7_Cl_3	G500_Cl_12
G7_Cl_3	G578_Cl_2
G7_Cl_3	G605_Cl_13
G7_Cl_3	G700_Cl_2
G7_Cl_3	G708_Cl_12
G7_Cl_3	G756_Cl_4
G7_Cl_3	G758_Cl_13
G7_Cl_3	G764_Cl_2
G7_Cl_4	G10_Cl_8
G7_Cl_4	G19_Cl_2
G7_Cl_4	G21_Cl_7
G7_Cl_4	G31_Cl_4
G7_Cl_4	G35_Cl_7
G7_Cl_4	G43_Cl_4
G7_Cl_4	G52_Cl_36
G7_Cl_4	G58_Cl_11
G7_Cl_4	G60_Cl_8
G7_Cl_4	G72_Cl_6
G7_Cl_4	G74_Cl_6
G7_Cl_4	G84_Cl_7
G7_Cl_4	G89_Cl_8
G7_Cl_4	G92_Cl_13
G7_Cl_4	G93_Cl_3
G7_Cl_4	G123_Cl_6
G7_Cl_4	G125_Cl_5
G7_Cl_4	G126_Cl_4
G7_Cl_4	G128_Cl_4
G7_Cl_4	G144_Cl_7
G7_Cl_4	G145_Cl_7
G7_Cl_4	G155_Cl_2
G7_Cl_4	G158_Cl_2
G7_Cl_4	G159_Cl_9
G7_Cl_4	G162_Cl_11
G7_Cl_4	G163_Cl_8
G7_Cl_4	G163_Cl_9
G7_Cl_4	G164_Cl_9
G7_Cl_4	G173_Cl_2
G7_Cl_4	G174_Cl_5
G7_Cl_4	G179_Cl_14
G7_Cl_4	G197_Cl_9
G7_Cl_4	G198_Cl_7
G7_Cl_4	G199_Cl_11
G7_Cl_4	G210_Cl_20
G7_Cl_4	G211_Cl_2
G7_Cl_4	G223_Cl_3
G7_Cl_4	G225_Cl_2
G7_Cl_4	G227_Cl_14
G7_Cl_4	G247_Cl_7
G7_Cl_4	G257_Cl_15
G7_Cl_4	G262_Cl_17
G7_Cl_4	G279_Cl_2
G7_Cl_4	G329_Cl_4
G7_Cl_4	G332_Cl_2
G7_Cl_4	G337_Cl_6
G7_Cl_4	G343_Cl_4
G7_Cl_4	G348_Cl_2
G7_Cl_4	G349_Cl_5
G7_Cl_4	G352_Cl_8
G7_Cl_4	G357_Cl_5
G7_Cl_4	G361_Cl_5
G7_Cl_4	G363_Cl_4
G7_Cl_4	G370_Cl_7
G7_Cl_4	G375_Cl_15
G7_Cl_4	G380_Cl_8
G7_Cl_4	G381_Cl_4
G7_Cl_4	G382_Cl_16
G7_Cl_4	G383_Cl_4
G7_Cl_4	G384_Cl_8
G7_Cl_4	G386_Cl_3
G7_Cl_4	G388_Cl_6
G7_Cl_4	G398_Cl_8
G7_Cl_4	G401_Cl_12
G7_Cl_4	G409_Cl_3
G7_Cl_4	G420_Cl_6
G7_Cl_4	G422_Cl_7
G7_Cl_4	G423_Cl_4
G7_Cl_4	G425_Cl_5
G7_Cl_4	G433_Cl_2
G7_Cl_4	G434_Cl_12
G7_Cl_4	G439_Cl_12
G7_Cl_4	G444_Cl_6
G7_Cl_4	G455_Cl_10
G7_Cl_4	G485_Cl_7
G7_Cl_4	G495_Cl_6
G7_Cl_4	G496_Cl_5
G7_Cl_4	G498_Cl_6
G7_Cl_4	G500_Cl_12
G7_Cl_4	G506_Cl_2
G7_Cl_4	G506_Cl_6
G7_Cl_4	G508_Cl_2
G7_Cl_4	G508_Cl_10
G7_Cl_4	G509_Cl_2
G7_Cl_4	G510_Cl_4
G7_Cl_4	G513_Cl_6
G7_Cl_4	G513_Cl_11
G7_Cl_4	G517_Cl_9
G7_Cl_4	G525_Cl_2
G7_Cl_4	G540_Cl_2
G7_Cl_4	G544_Cl_4
G7_Cl_4	G550_Cl_5
G7_Cl_4	G551_Cl_5
G7_Cl_4	G552_Cl_4
G7_Cl_4	G558_Cl_15
G7_Cl_4	G560_Cl_10
G7_Cl_4	G561_Cl_11
G7_Cl_4	G568_Cl_6
G7_Cl_4	G578_Cl_3
G7_Cl_4	G582_Cl_4
G7_Cl_4	G586_Cl_11
G7_Cl_4	G597_Cl_2
G7_Cl_4	G602_Cl_10
G7_Cl_4	G604_Cl_6
G7_Cl_4	G610_Cl_10
G7_Cl_4	G611_Cl_6
G7_Cl_4	G612_Cl_8
G7_Cl_4	G630_Cl_15
G7_Cl_4	G632_Cl_6
G7_Cl_4	G653_Cl_8
G7_Cl_4	G655_Cl_3
G7_Cl_4	G655_Cl_13
G7_Cl_4	G669_Cl_8
G7_Cl_4	G673_Cl_12
G7_Cl_4	G679_Cl_3
G7_Cl_4	G683_Cl_6
G7_Cl_4	G686_Cl_3
G7_Cl_4	G688_Cl_12
G7_Cl_4	G689_Cl_8
G7_Cl_4	G691_Cl_5
G7_Cl_4	G696_Cl_8
G7_Cl_4	G698_Cl_5
G7_Cl_4	G703_Cl_12
G7_Cl_4	G710_Cl_8
G7_Cl_4	G753_Cl_3
G7_Cl_8	G109_Cl_2
G7_Cl_8	G162_Cl_12
G7_Cl_8	G344_Cl_7
G7_Cl_8	G442_Cl_4
G7_Cl_8	G463_Cl_3
G7_Cl_8	G700_Cl_2
G7_Cl_8	G764_Cl_2
G7_Cl_9	G34_Cl_11
G7_Cl_9	G91_Cl_4
G7_Cl_9	G109_Cl_2
G7_Cl_9	G125_Cl_8
G7_Cl_9	G199_Cl_16
G7_Cl_9	G298_Cl_8
G7_Cl_9	G401_Cl_4
G7_Cl_9	G463_Cl_3
G7_Cl_9	G495_Cl_7
G7_Cl_9	G588_Cl_15
